filename,class,algorithm,seed_ok,seed_argb,chroma,muddy,pre_contrast_light,pre_contrast_dark,light_primary,light_on_primary,light_container,light_on_container,dark_primary,dark_on_primary,dark_container,dark_on_container
anime_ks10028.jpeg,flat,sampler,1,#FF8BC0C8,61,0,1.7049,1.2818,#FF77A5AC,#FF000000,#FFE6EEF0,#FF000000,#FFA4CDD4,#FF000000,#FFB2D5DA,#FF000000
anime_ks10028.jpeg,flat,palette,1,#FFA8E8F8,80,0,1.209,1.098,#FF90C7D5,#FF000000,#FFEBF4F7,#FF000000,#FFBBEDF9,#FF000000,#FFC5EFF9,#FF000000
anime_ks10740.jpg,busy,sampler,1,#FF786E6B,13,1,3.8271,1.8971,#FF675E5C,#FFFFFFFF,#FFE3E2E1,#FF000000,#FF958D8B,#FF000000,#FFA59F9D,#FF000000
anime_ks10740.jpg,busy,palette,1,#FF201828,16,1,11.6364,3.0887,#FF1B1422,#FFFFFFFF,#FFD5D4D7,#FF000000,#FF514A57,#FFFFFFFF,#FF6C6671,#FFFFFFFF
anime_ks10800.jpg,flat,sampler,1,#FF69342E,59,0,7.0934,2.5362,#FF5A2C27,#FFFFFFFF,#FFE1D9D8,#FF000000,#FF8A605B,#FFFFFFFF,#FF9C7975,#FF000000
anime_ks10800.jpg,flat,palette,1,#FF401008,56,0,10.9827,2.9313,#FF370D06,#FFFFFFFF,#FFDAD3D2,#FF000000,#FF6A443E,#FFFFFFFF,#FF81615C,#FFFFFFFF
anime_ks10877.jpg,busy,sampler,1,#FF838986,6,1,2.8504,1.6316,#FF707573,#FFFFFFFF,#FFE5E6E5,#FF000000,#FF9EA2A0,#FF000000,#FFADB0AF,#FF000000
anime_ks10877.jpg,busy,palette,1,#FF282830,8,1,10.165,3.0115,#FF222229,#FFFFFFFF,#FFD7D7D8,#FF000000,#FF57575D,#FFFFFFFF,#FF717176,#FFFFFFFF
anime_ks11110.png,flat,sampler,1,#FF413029,24,0,8.8027,2.8387,#FF372923,#FFFFFFFF,#FFDAD8D7,#FF000000,#FF6A5D58,#FFFFFFFF,#FF817672,#FF000000
anime_ks11110.png,flat,palette,1,#FF201818,8,1,11.7795,3.0948,#FF1B1414,#FFFFFFFF,#FFD5D4D4,#FF000000,#FF514A4A,#FFFFFFFF,#FF6C6666,#FFFFFFFF
